District,Year,HDI
PENUKAL ABAB LEMATANG ILIR,2023,66.64
MUSI RAWAS UTARA,2023,66.6
KOTA PALEMBANG,2023,80.02
KOTA PRABUMULIH,2023,76.46
KOTA PAGAR ALAM,2023,70.45
KOTA LUBUKLINGGAU,2023,76.19
BENGKULU,2023,72.78
BENGKULU SELATAN,2023,71.91
REJANG LEBONG,2023,72.31
BENGKULU UTARA,2023,70.28
KAUR,2023,68.38
SELUMA,2023,68.27
MUKOMUKO,2023,69.97
LEBONG,2023,68.71
KEPAHIANG,2023,69.6
BENGKULU TENGAH,2023,68.99
KOTA BENGKULU,2023,81.45
LAMPUNG,2023,71.15
LAMPUNG BARAT,2023,69.11
TANGGAMUS,2023,67.86
LAMPUNG SELATAN,2023,69.63
LAMPUNG TIMUR,2023,71.21
LAMPUNG TENGAH,2023,71.6
LAMPUNG UTARA,2023,68.95
WAY KANAN,2023,68.63
TULANGBAWANG,2023,70.02
PESAWARAN,2023,67.67
PRINGSEWU,2023,71.61
MESUJI,2023,65.64
TULANG BAWANG BARAT,2023,67.81
PESISIR BARAT,2023,66
KOTA BANDAR LAMPUNG,2023,78.56
KOTA METRO,2023,78.36
KEP. BANGKA BELITUNG,2023,72.85
BANGKA,2023,73.66
BELITUNG,2023,74.02
BANGKA BARAT,2023,70.45
BANGKA TENGAH,2023,71.71
BANGKA SELATAN,2023,68.51
BELITUNG TIMUR,2023,72.86
KOTA PANGKAL PINANG,2023,79.93
KEPULAUAN RIAU,2023,77.11
KARIMUN,2023,73.51
BINTAN,2023,75.7
NATUNA,2023,74.21
LINGGA,2023,67.44
KEPULAUAN ANAMBAS,2023,70.26
KOTA BATAM,2023,82.11
KOTA TANJUNG PINANG,2023,80.23
DKI JAKARTA,2023,82.46
KEPULAUAN SERIBU,2023,73.39
KOTA JAKARTA SELATAN,2023,86.07
KOTA JAKARTA TIMUR,2023,84.13
KOTA JAKARTA PUSAT,2023,82.53
KOTA JAKARTA BARAT,2023,83.02
KOTA JAKARTA UTARA,2023,81.11
JAWA BARAT,2023,73.74
BOGOR,2023,71.78
SUKABUMI,2023,68.49
CIANJUR,2023,66.55
BANDUNG,2023,73.74
GARUT,2023,68.11
TASIKMALAYA,2023,67.76
CIAMIS,2023,72.05
KUNINGAN,2023,70.72
CIREBON,2023,70.95
MAJALENGKA,2023,69.13
SUMEDANG,2023,73.18
INDRAMAYU,2023,69.25
SUBANG,2023,70.7
PURWAKARTA,2023,72.09
KARAWANG,2023,72.35
BEKASI,2023,75.76
BANDUNG BARAT,2023,69.61
PANGANDARAN,2023,69.38
KOTA BOGOR,2023,77.85
KOTA SUKABUMI,2023,76.32
KOTA BANDUNG,2023,83.04
KOTA CIREBON,2023,76.46
KOTA BEKASI,2023,83.03
KOTA DEPOK,2023,82.38
KOTA CIMAHI,2023,79.46
KOTA TASIKMALAYA,2023,74.47
KOTA BANJAR,2023,73.08
JAWA TENGAH,2023,73.39
CILACAP,2023,71.83
BANYUMAS,2023,73.86
PURBALINGGA,2023,70.24
BANJARNEGARA,2023,69.14
KEBUMEN,2023,71.37
PURWOREJO,2023,74.28
WONOSOBO,2023,69.37
MAGELANG,2023,71.45
BOYOLALI,2023,75.41
KLATEN,2023,77.59
SUKOHARJO,2023,78.65
WONOGIRI,2023,71.97
KARANGANYAR,2023,77.31
SRAGEN,2023,75.1
GROBOGAN,2023,71.49
BLORA,2023,70.63
REMBANG,2023,71.89
PATI,2023,73.59
KUDUS,2023,76.71
JEPARA,2023,73.85
DEMAK,2023,74.07
SEMARANG,2023,75.13
TEMANGGUNG,2023,71.33
KENDAL,2023,73.86
BATANG,2023,70.2
PEKALONGAN,2023,71.4
PEMALANG,2023,68.03
TEGAL,2023,70.23
BREBES,2023,67.95
KOTA MAGELANG,2023,81.17
KOTA SURAKARTA,2023,83.54
KOTA SALATIGA,2023,84.99
KOTA SEMARANG,2023,84.43
KOTA PEKALONGAN,2023,76.71
KOTA TEGAL,2023,77.02
D I YOGYAKARTA,2023,81.07
KULON PROGO,2023,75.79
BANTUL,2023,81.39
GUNUNG KIDUL,2023,71.24
SLEMAN,2023,84.77
KOTA YOGYAKARTA,2023,88.28
JAWA TIMUR,2023,73.38
PACITAN,2023,70.19
PONOROGO,2023,72.5
TRENGGALEK,2023,71.73
TULUNGAGUNG,2023,74.61
BLITAR,2023,72.49
KEDIRI,2023,73.96
MALANG,2023,72.16
LUMAJANG,2023,67.87
JEMBER,2023,68.64
BANYUWANGI,2023,72.61
BONDOWOSO,2023,67.99
SITUBONDO,2023,69.16
PROBOLINGGO,2023,67.79
PASURUAN,2023,70.29
SIDOARJO,2023,81.55
MOJOKERTO,2023,75.53
JOMBANG,2023,74.6
NGANJUK,2023,73.71
MADIUN,2023,72.97
MAGETAN,2023,75.41
NGAWI,2023,72.47
BOJONEGORO,2023,70.85
TUBAN,2023,70.34
LAMONGAN,2023,74.53
GRESIK,2023,77.98
BANGKALAN,2023,65.75
SAMPANG,2023,64.13
PAMEKASAN,2023,67.96
SUMENEP,2023,68.61
KOTA KEDIRI,2023,80.44
KOTA BLITAR,2023,80.63
KOTA MALANG,2023,83.39
KOTA PROBOLINGGO,2023,75.43
KOTA PASURUAN,2023,77.17
KOTA MOJOKERTO,2023,80.07
KOTA MADIUN,2023,82.71
KOTA SURABAYA,2023,83.45
KOTA BATU,2023,78.18
BANTEN,2023,73.87
PANDEGLANG,2023,66.42
LEBAK,2023,65.21
TANGERANG,2023,73.43
SERANG,2023,68.39
KOTA TANGERANG,2023,79.46
KOTA CILEGON,2023,74.54
KOTA SERANG,2023,73.48
KOTA TANGERANG SELATAN,2023,82.28
BALI,2023,77.1
JEMBRANA,2023,74.04
TABANAN,2023,77.43
BADUNG,2023,83.08
GIANYAR,2023,79.24
KLUNGKUNG,2023,73.11
BANGLI,2023,70.79
KARANGASEM,2023,68.91
BULELENG,2023,73.97
KOTA DENPASAR,2023,84.73
NUSA TENGGARA BARAT,2023,70.2
LOMBOK BARAT,2023,70.15
LOMBOK TENGAH,2023,68.4
LOMBOK TIMUR,2023,68.41
SUMBAWA,2023,69.87
DOMPU,2023,69.98
BIMA,2023,68.28
SUMBAWA BARAT,2023,73.17
LOMBOK UTARA,2023,66.62
KOTA MATARAM,2023,80.09
KOTA BIMA,2023,77.36
NUSA TENGGARA TIMUR,2023,66.68
SUMBA BARAT,2023,65.22
SUMBA TIMUR,2023,67.05
KUPANG,2023,65.82
TIMOR TENGAH SELATAN,2023,63.58
TIMOR TENGAH UTARA,2023,65.16
BELU,2023,63.83
ALOR,2023,62.99
LEMBATA,2023,66.12
FLORES TIMUR,2023,65.79
SIKKA,2023,66.89
ENDE,2023,68.63
NGADA,2023,69.14
MANGGARAI,2023,66.42
ROTE NDAO,2023,64
MANGGARAI BARAT,2023,65.81
SUMBA TENGAH,2023,63.48
SUMBA BARAT DAYA,2023,63.74
NAGEKEO,2023,67.07
MANGGARAI TIMUR,2023,63.24
SABU RAIJUA,2023,58.89
MALAKA,2023,62.06
KOTA KUPANG,2023,80.62
KALIMANTAN BARAT,2023,69.41
SAMBAS,2023,68.69
BENGKAYANG,2023,69.53
LANDAK,2023,68.14
MEMPAWAH,2023,67.92
SANGGAU,2023,67.77
KETAPANG,2023,68.68
SINTANG,2023,68.67
KAPUAS HULU,2023,67.67
SEKADAU,2023,66.33
MELAWI,2023,67.76
KAYONG UTARA,2023,64.79
KUBU RAYA,2023,69.6
KOTA PONTIANAK,2023,81.03
KOTA SINGKAWANG,2023,73.39
KALIMANTAN TENGAH,2023,72.2
KOTAWARINGIN BARAT,2023,74.04
KOTAWARINGIN TIMUR,2023,72.21
KAPUAS,2023,70.75
BARITO SELATAN,2023,71.65
BARITO UTARA,2023,71.84
SUKAMARA,2023,69.44
LAMANDAU,2023,71.81
SERUYAN,2023,68.68
KATINGAN,2023,70.28
PULANG PISAU,2023,69.6
GUNUNG MAS,2023,72.09
BARITO TIMUR,2023,72.7
MURUNG RAYA,2023,69.42
KOTA PALANGKA RAYA,2023,81.68
KALIMANTAN SELATAN,2023,72.5
TANAH LAUT,2023,70.98
KOTABARU,2023,70.18
BANJAR,2023,71.46
BARITO KUALA,2023,68.11
TAPIN,2023,72
HULU SUNGAI SELATAN,2023,70.5
HULU SUNGAI TENGAH,2023,70.13
HULU SUNGAI UTARA,2023,67.66
TABALONG,2023,73.85
TANAH BUMBU,2023,72.31
BALANGAN,2023,70.49
KOTA BANJARMASIN,2023,78.5
KOTA BANJAR BARU,2023,80.11
KALIMANTAN TIMUR,2023,78.2
PASER,2023,74.14
KUTAI BARAT,2023,73.72
KUTAI KARTANEGARA,2023,75.3
KUTAI TIMUR,2023,74.98
BERAU,2023,76.21
PENAJAM PASER UTARA,2023,73.3
MAHAKAM ULU,2023,69.59
KOTA BALIKPAPAN,2023,81.66
KOTA SAMARINDA,2023,82.32
KOTA BONTANG,2023,81.56
KALIMANTAN UTARA,2023,72.49
MALINAU,2023,73.19
BULUNGAN,2023,72.72
TANA TIDUNG,2023,69.2
NUNUKAN,2023,67.7
KOTA TARAKAN,2023,77.53
SULAWESI UTARA,2023,74.36
BOLAANG MONGONDOW,2023,69.62
MINAHASA,2023,76.96
KEPULAUAN SANGIHE,2023,72.22
KEPULAUAN TALAUD,2023,71.14
MINAHASA SELATAN,2023,73.66
MINAHASA UTARA,2023,75.31
BOLAANG MONGONDOW UTARA,2023,68.64
SIAU TAGULANDANG BIARO,2023,69.57
MINAHASA TENGGARA,2023,71.93
BOLAANG MONGONDOW SELATAN,2023,66.4
BOLAANG MONGONDOW TIMUR,2023,67.95
KOTA MANADO,2023,80.14
KOTA BITUNG,2023,75.11
KOTA TOMOHON,2023,78.1
KOTA KOTAMOBAGU,2023,74.43
SULAWESI TENGAH,2023,70.95
BANGGAI KEPULAUAN,2023,66.82
BANGGAI,2023,71.7
MOROWALI,2023,73.02
POSO,2023,72.48
DONGGALA,2023,66.95
TOLI-TOLI,2023,67.66
BUOL,2023,69.57
PARIGI MOUTONG,2023,67.11
TOJO UNA-UNA,2023,66.39
SIGI,2023,69.93
BANGGAI LAUT,2023,66.93
MOROWALI UTARA,2023,69.73
KOTA PALU,2023,82.52
SULAWESI SELATAN,2023,73.46
KEPULAUAN SELAYAR,2023,69.2
BULUKUMBA,2023,71.21
BANTAENG,2023,70.57
JENEPONTO,2023,65.9
TAKALAR,2023,68.9
GOWA,2023,71.57
SINJAI,2023,68.92
MAROS,2023,71.63
PANGKAJENE DAN KEPULAUAN,2023,70.59
BARRU,2023,72.36
BONE,2023,67.81
SOPPENG,2023,70.58
WAJO,2023,71.1
SIDENRENG RAPPANG,2023,72.71
PINRANG,2023,72.84
ENREKANG,2023,73.89
LUWU,2023,72.16
TANA TORAJA,2023,70.73
LUWU UTARA,2023,71.34
LUWU TIMUR,2023,74.35
TORAJA UTARA,2023,71.23
KOTA MAKASAR,2023,83.52
KOTA PAREPARE,2023,79.03
KOTA PALOPO,2023,79.45
SULAWESI TENGGARA,2023,72.79
BUTON,2023,68.12
MUNA,2023,70.16
KONAWE,2023,72.77
KOLAKA,2023,74.72
KONAWE SELATAN,2023,70.32
BOMBANA,2023,67.43
WAKATOBI,2023,71.43
KOLAKA UTARA,2023,71.04
BUTON UTARA,2023,69.7
KONAWE UTARA,2023,71.71
KOLAKA TIMUR,2023,69.57
KONAWE KEPULAUAN,2023,67.32
MUNA BARAT,2023,67.13
BUTON TENGAH,2023,65.83
BUTON SELATAN,2023,66.15
KOTA KENDARI,2023,84.85
KOTA BAUBAU,2023,77.52
GORONTALO,2023,70.45
BOALEMO,2023,68.18
GORONTALO,2023,69.09
POHUWATO,2023,67.15
BONE BOLANGO,2023,71.51
GORONTALO UTARA,2023,66.61
KOTA GORONTALO,2023,78.64
SULAWESI BARAT,2023,67.55
MAJENE,2023,68.62
POLEWALI MANDAR,2023,65.59
MAMASA,2023,67.83
MAMUJU,2023,69.61
MAMUJU UTARA / PASANGKAYU,2023,69.11
MAMUJU TENGAH,2023,67.45
MALUKU,2023,70.94
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2023,64.16
MALUKU TENGGARA,2023,67.57
MALUKU TENGAH,2023,72.45
BURU,2023,70.56
KEPULAUAN ARU,2023,65.01
SERAM BAGIAN BARAT,2023,67.56
SERAM BAGIAN TIMUR,2023,65.82
MALUKU BARAT DAYA,2023,63.93
BURU SELATAN,2023,66.23
KOTA AMBON,2023,82.06
KOTA TUAL,2023,69.43
MALUKU UTARA,2023,70.21
HALMAHERA BARAT,2023,66.91
HALMAHERA TENGAH,2023,67.48
KEPULAUAN SULA,2023,65.29
HALMAHERA SELATAN,2023,65.83
HALMAHERA UTARA,2023,69.05
HALMAHERA TIMUR,2023,68.82
PULAU MOROTAI,2023,64.73
PULAU TALIABU,2023,62.31
KOTA TERNATE,2023,81.35
KOTA TIDORE KEPULAUAN,2023,72.4
PAPUA BARAT,2023,66.66
FAKFAK,2023,69.72
KAIMANA,2023,66.72
TELUK WONDAMA,2023,61.67
TELUK BINTUNI,2023,66
MANOKWARI,2023,73.21
SORONG SELATAN,2023,63.94
SORONG SELATAN,2023,63.94
SORONG,2023,67.49
SORONG,2023,67.49
RAJA AMPAT,2023,65.26
RAJA AMPAT,2023,65.26
TAMBRAUW,2023,55.55
TAMBRAUW,2023,55.55
MAYBRAT,2023,61.29
MAYBRAT,2023,61.29
MANOKWARI SELATAN,2023,61.55
PEGUNUNGAN ARFAK,2023,57.82
KOTA SORONG,2023,79.65
KOTA SORONG,2023,79.65
PAPUA BARAT DAYA,2023,-
RAJA AMPAT,2023,-
RAJA AMPAT,2023,-
SORONG,2023,-
SORONG,2023,-
SORONG SELATAN,2023,-
SORONG SELATAN,2023,-
MAYBRAT,2023,-
MAYBRAT,2023,-
TAMBRAUW,2023,-
TAMBRAUW,2023,-
KOTA SORONG,2023,-
KOTA SORONG,2023,-
PAPUA,2023,62.25
MERAUKE,2023,72.19
MERAUKE,2023,72.19
JAYAWIJAYA,2023,60.5
JAYAWIJAYA,2023,60.5
JAYAPURA,2023,73.5
NABIRE,2023,70.84
NABIRE,2023,70.84
KEPULAUAN YAPEN,2023,69.11
BIAK NUMFOR,2023,73.46
PANIAI,2023,57.91
PANIAI,2023,57.91
PUNCAK JAYA,2023,50.81
PUNCAK JAYA,2023,50.81
MIMIKA,2023,75.91
MIMIKA,2023,75.91
BOVEN DIGOEL,2023,63.46
BOVEN DIGOEL,2023,63.46
MAPPI,2023,60.57
MAPPI,2023,60.57
ASMAT,2023,53.19
ASMAT,2023,53.19
YAHUKIMO,2023,51.19
YAHUKIMO,2023,51.19
PEGUNUNGAN BINTANG,2023,48.18
PEGUNUNGAN BINTANG,2023,48.18
TOLIKARA,2023,51.48
TOLIKARA,2023,51.48
SARMI,2023,65.8
KEEROM,2023,68.08
WAROPEN,2023,66.46
SUPIORI,2023,64.61
MAMBERAMO RAYA,2023,54.08
NDUGA,2023,35.19
NDUGA,2023,35.19
LANNY JAYA,2023,50.56
LANNY JAYA,2023,50.56
MAMBERAMO TENGAH,2023,50.22
MAMBERAMO TENGAH,2023,50.22
YALIMO,2023,50.87
YALIMO,2023,50.87
PUNCAK,2023,44.59
PUNCAK,2023,44.59
DOGIYAI,2023,56.7
DOGIYAI,2023,56.7
INTAN JAYA,2023,50.19
INTAN JAYA,2023,50.19
DEIYAI,2023,51.18
DEIYAI,2023,51.18
KOTA JAYAPURA,2023,81.14
PAPUA SELATAN,2023,-
MERAUKE,2023,-
MERAUKE,2023,-
BOVEN DIGOEL,2023,-
BOVEN DIGOEL,2023,-
MAPPI,2023,-
MAPPI,2023,-
ASMAT,2023,-
ASMAT,2023,-
PAPUA TENGAH,2023,-
MIMIKA,2023,-
MIMIKA,2023,-
DOGIYAI,2023,-
DOGIYAI,2023,-
DEIYAI,2023,-
DEIYAI,2023,-
NABIRE,2023,-
NABIRE,2023,-
PANIAI,2023,-
PANIAI,2023,-
INTAN JAYA,2023,-
INTAN JAYA,2023,-
PUNCAK,2023,-
PUNCAK,2023,-
PUNCAK JAYA,2023,-
PUNCAK JAYA,2023,-
PAPUA PEGUNUNGAN,2023,-
NDUGA,2023,-
NDUGA,2023,-
JAYAWIJAYA,2023,-
JAYAWIJAYA,2023,-
LANNY JAYA,2023,-
LANNY JAYA,2023,-
TOLIKARA,2023,-
TOLIKARA,2023,-
MAMBERAMO TENGAH,2023,-
MAMBERAMO TENGAH,2023,-
YALIMO,2023,-
YALIMO,2023,-
YAHUKIMO,2023,-
YAHUKIMO,2023,-
PEGUNUNGAN BINTANG,2023,-
PEGUNUNGAN BINTANG,2023,-
INDONESIA,2023,73.55
ACEH,2024,74.03
SIMEULUE,2024,69.01
ACEH SINGKIL,2024,70.75
ACEH SELATAN,2024,69.1
ACEH TENGGARA,2024,71.7
ACEH TIMUR,2024,69.87
ACEH TENGAH,2024,75.41
ACEH BARAT,2024,73.69
ACEH BESAR,2024,75.13
PIDIE,2024,72.31
BIREUEN,2024,74.45
ACEH UTARA,2024,71.7
ACEH BARAT DAYA,2024,68.75
GAYO LUES,2024,69.83
ACEH TAMIANG,2024,72.32
NAGAN RAYA,2024,71.72
ACEH JAYA,2024,71.83
BENER MERIAH,2024,75.01
PIDIE JAYA,2024,75.16
KOTA BANDA ACEH,2024,87.17
KOTA SABANG,2024,78.32
KOTA LANGSA,2024,78.81
KOTA LHOKSEUMAWE,2024,79.55
KOTA SUBULUSSALAM,2024,68.04
SUMATERA UTARA,2024,74.02
NIAS,2024,65.55
MANDAILING NATAL,2024,69.33
TAPANULI SELATAN,2024,72.14
TAPANULI TENGAH,2024,71.52
TAPANULI UTARA,2024,75.23
TOBA SAMOSIR / TOBA,2024,76.91
LABUHAN BATU,2024,74.18
ASAHAN,2024,72.09
SIMALUNGUN,2024,74.97
DAIRI,2024,73.92
KARO,2024,76.55
DELI SERDANG,2024,76.92
LANGKAT,2024,72.73
NIAS SELATAN,2024,65.02
HUMBANG HASUNDUTAN,2024,71.59
PAKPAK BHARAT,2024,70.36
SAMOSIR,2024,72.88
SERDANG BEDAGAI,2024,72.47
BATU BARA,2024,70.83
PADANG LAWAS UTARA,2024,72.32
PADANG LAWAS,2024,71.27
LABUHAN BATU SELATAN,2024,73.67
LABUHAN BATU UTARA,2024,74.4
NIAS UTARA,2024,65.62
NIAS BARAT,2024,64.67
KOTA SIBOLGA,2024,75.66
KOTA TANJUNG BALAI,2024,71.1
KOTA PEMATANG SIANTAR,2024,81.17
KOTA TEBING TINGGI,2024,77.45
KOTA MEDAN,2024,82.76
KOTA BINJAI,2024,78.1
KOTA PADANGSIDIMPUAN,2024,76.96
KOTA GUNUNGSITOLI,2024,71.41
SUMATERA BARAT,2024,74.49
KEPULAUAN MENTAWAI,2024,63.99
PESISIR SELATAN,2024,72.02
SOLOK,2024,71.02
SIJUNJUNG,2024,70.23
TANAH DATAR,2024,74.9
PADANG PARIAMAN,2024,73.1
AGAM,2024,74.66
LIMA PULUH KOTA,2024,71.14
PASAMAN,2024,68.89
SOLOK SELATAN,2024,71.5
DHARMASRAYA,2024,74.06
PASAMAN BARAT,2024,70.93
KOTA PADANG,2024,83.99
KOTA SOLOK,2024,80
KOTA SAWAH LUNTO,2024,75.13
KOTA PADANG PANJANG,2024,80.17
KOTA BUKITTINGGI,2024,82.51
KOTA PAYAKUMBUH,2024,80.61
KOTA PARIAMAN,2024,78.88
RIAU,2024,74.79
KUANTAN SINGINGI,2024,72.33
INDRAGIRI HULU,2024,71.48
INDRAGIRI HILIR,2024,68.38
PELALAWAN,2024,74.08
SIAK,2024,75.45
KAMPAR,2024,74.85
ROKAN HULU,2024,71.82
BENGKALIS,2024,75.28
ROKAN HILIR,2024,71.2
KEPULAUAN MERANTI,2024,67.92
KOTA PEKANBARU,2024,82.89
KOTA DUMAI,2024,76.19
JAMBI,2024,73.43
KERINCI,2024,73.11
MERANGIN,2024,71.66
SAROLANGUN,2024,72.01
BATANG HARI,2024,71.67
MUARO JAMBI,2024,71.91
TANJUNG JABUNG TIMUR,2024,67.54
TANJUNG JABUNG BARAT,2024,69.93
TEBO,2024,71.32
BUNGO,2024,71.92
KOTA JAMBI,2024,81.04
KOTA SUNGAI PENUH,2024,77.4
SUMATERA SELATAN,2024,72.3
OGAN KOMERING ULU,2024,71.55
OGAN KOMERING ILIR,2024,69.33
MUARA ENIM,2024,71
LAHAT,2024,69.77
MUSI RAWAS,2024,68.95
MUSI BANYUASIN,2024,70.12
BANYU ASIN,2024,69.51
OGAN KOMERING ULU SELATAN,2024,67.65
OGAN KOMERING ULU TIMUR,2024,71.55
OGAN ILIR,2024,69.4
EMPAT LAWANG,2024,67.25
PENUKAL ABAB LEMATANG ILIR,2024,67.48
MUSI RAWAS UTARA,2024,67.4
KOTA PALEMBANG,2024,80.57
KOTA PRABUMULIH,2024,77.08
KOTA PAGAR ALAM,2024,71.19
KOTA LUBUKLINGGAU,2024,76.82
BENGKULU,2024,73.39
BENGKULU SELATAN,2024,72.35
REJANG LEBONG,2024,72.92
BENGKULU UTARA,2024,71.11
KAUR,2024,68.98
SELUMA,2024,68.97
MUKOMUKO,2024,70.63
LEBONG,2024,69.27
KEPAHIANG,2024,70.27
BENGKULU TENGAH,2024,69.84
KOTA BENGKULU,2024,82.04
LAMPUNG,2024,71.81
LAMPUNG BARAT,2024,69.84
TANGGAMUS,2024,68.52
LAMPUNG SELATAN,2024,70.28
LAMPUNG TIMUR,2024,71.84
LAMPUNG TENGAH,2024,72.37
LAMPUNG UTARA,2024,69.62
WAY KANAN,2024,69.31
TULANGBAWANG,2024,70.66
PESAWARAN,2024,68.52
PRINGSEWU,2024,72.29
MESUJI,2024,66.46
TULANG BAWANG BARAT,2024,68.46
PESISIR BARAT,2024,66.73
KOTA BANDAR LAMPUNG,2024,79.19
KOTA METRO,2024,78.93
KEP. BANGKA BELITUNG,2024,73.33
BANGKA,2024,73.98
BELITUNG,2024,74.47
BANGKA BARAT,2024,70.67
BANGKA TENGAH,2024,71.9
BANGKA SELATAN,2024,68.86
BELITUNG TIMUR,2024,73.19
KOTA PANGKAL PINANG,2024,80.4
KEPULAUAN RIAU,2024,77.97
KARIMUN,2024,74.28
BINTAN,2024,76.18
NATUNA,2024,74.56
LINGGA,2024,68.19
KEPULAUAN ANAMBAS,2024,70.93
KOTA BATAM,2024,82.86
KOTA TANJUNG PINANG,2024,80.63
DKI JAKARTA,2024,83.08
KEPULAUAN SERIBU,2024,74.17
KOTA JAKARTA SELATAN,2024,86.94
KOTA JAKARTA TIMUR,2024,84.65
KOTA JAKARTA PUSAT,2024,83.01
KOTA JAKARTA BARAT,2024,83.64
KOTA JAKARTA UTARA,2024,81.39
JAWA BARAT,2024,74.43
BOGOR,2024,72.39
SUKABUMI,2024,68.97
CIANJUR,2024,67.24
BANDUNG,2024,74.27
GARUT,2024,68.79
TASIKMALAYA,2024,68.36
CIAMIS,2024,72.56
KUNINGAN,2024,71.26
CIREBON,2024,71.44
MAJALENGKA,2024,69.74
SUMEDANG,2024,73.73
INDRAMAYU,2024,69.83
SUBANG,2024,71.36
PURWAKARTA,2024,72.65
KARAWANG,2024,72.9
BEKASI,2024,76.44
BANDUNG BARAT,2024,70.03
PANGANDARAN,2024,69.85
KOTA BOGOR,2024,78.52
KOTA SUKABUMI,2024,76.85
KOTA BANDUNG,2024,83.52
KOTA CIREBON,2024,77.08
KOTA BEKASI,2024,83.54
KOTA DEPOK,2024,82.91
KOTA CIMAHI,2024,80.08
KOTA TASIKMALAYA,2024,75.04
KOTA BANJAR,2024,73.64
JAWA TENGAH,2024,73.88
CILACAP,2024,72.38
BANYUMAS,2024,74.52
PURBALINGGA,2024,70.69
BANJARNEGARA,2024,69.6
KEBUMEN,2024,71.93
PURWOREJO,2024,75.11
WONOSOBO,2024,69.82
MAGELANG,2024,71.99
BOYOLALI,2024,75.96
KLATEN,2024,78.16
SUKOHARJO,2024,79.3
WONOGIRI,2024,72.55
KARANGANYAR,2024,78.11
SRAGEN,2024,75.53
GROBOGAN,2024,72.02
BLORA,2024,71.39
REMBANG,2024,72.53
PATI,2024,74.1
KUDUS,2024,77.22
JEPARA,2024,74.32
DEMAK,2024,74.57
SEMARANG,2024,75.67
TEMANGGUNG,2024,71.87
KENDAL,2024,74.34
BATANG,2024,70.74
PEKALONGAN,2024,71.84
PEMALANG,2024,68.55
TEGAL,2024,70.77
BREBES,2024,68.46
KOTA MAGELANG,2024,82.15
KOTA SURAKARTA,2024,84.4
KOTA SALATIGA,2024,85.72
KOTA SEMARANG,2024,85.25
KOTA PEKALONGAN,2024,77.22
KOTA TEGAL,2024,77.43
D I YOGYAKARTA,2024,81.55
KULON PROGO,2024,76.14
BANTUL,2024,81.74
GUNUNG KIDUL,2024,71.89
SLEMAN,2024,85.61
