District,Year,HDI
KOTA YOGYAKARTA,2024,88.77
JAWA TIMUR,2024,74.09
PACITAN,2024,70.74
PONOROGO,2024,73.01
TRENGGALEK,2024,72.24
TULUNGAGUNG,2024,75.09
BLITAR,2024,73.09
KEDIRI,2024,74.44
MALANG,2024,72.68
LUMAJANG,2024,68.8
JEMBER,2024,69.15
BANYUWANGI,2024,73.11
BONDOWOSO,2024,68.65
SITUBONDO,2024,69.75
PROBOLINGGO,2024,68.29
PASURUAN,2024,70.73
SIDOARJO,2024,82.31
MOJOKERTO,2024,75.98
JOMBANG,2024,75.1
NGANJUK,2024,74.23
MADIUN,2024,73.74
MAGETAN,2024,75.87
NGAWI,2024,73.09
BOJONEGORO,2024,71.78
TUBAN,2024,71.23
LAMONGAN,2024,75.13
GRESIK,2024,78.45
BANGKALAN,2024,66.27
SAMPANG,2024,64.65
PAMEKASAN,2024,68.49
SUMENEP,2024,69.26
KOTA KEDIRI,2024,81.35
KOTA BLITAR,2024,81.27
KOTA MALANG,2024,84.06
KOTA PROBOLINGGO,2024,76.27
KOTA PASURUAN,2024,77.75
KOTA MOJOKERTO,2024,80.92
KOTA MADIUN,2024,83.48
KOTA SURABAYA,2024,84.14
KOTA BATU,2024,78.79
BANTEN,2024,74.48
PANDEGLANG,2024,66.99
LEBAK,2024,65.86
TANGERANG,2024,74.09
SERANG,2024,69.03
KOTA TANGERANG,2024,80.02
KOTA CILEGON,2024,75.14
KOTA SERANG,2024,73.99
KOTA TANGERANG SELATAN,2024,82.89
BALI,2024,77.76
JEMBRANA,2024,74.6
TABANAN,2024,78.42
BADUNG,2024,83.87
GIANYAR,2024,79.82
KLUNGKUNG,2024,74.04
BANGLI,2024,71.34
KARANGASEM,2024,69.74
BULELENG,2024,74.52
KOTA DENPASAR,2024,85.22
NUSA TENGGARA BARAT,2024,70.93
LOMBOK BARAT,2024,70.67
LOMBOK TENGAH,2024,69.17
LOMBOK TIMUR,2024,69.23
SUMBAWA,2024,70.55
DOMPU,2024,70.78
BIMA,2024,68.94
SUMBAWA BARAT,2024,73.86
LOMBOK UTARA,2024,67.24
KOTA MATARAM,2024,80.6
KOTA BIMA,2024,78.04
NUSA TENGGARA TIMUR,2024,67.39
SUMBA BARAT,2024,66.06
SUMBA TIMUR,2024,67.68
KUPANG,2024,66.57
TIMOR TENGAH SELATAN,2024,64.36
TIMOR TENGAH UTARA,2024,65.83
BELU,2024,64.43
ALOR,2024,63.82
LEMBATA,2024,66.62
FLORES TIMUR,2024,66.29
SIKKA,2024,67.41
ENDE,2024,69.11
NGADA,2024,69.52
MANGGARAI,2024,67.28
ROTE NDAO,2024,64.59
MANGGARAI BARAT,2024,66.65
SUMBA TENGAH,2024,64.31
SUMBA BARAT DAYA,2024,64.27
NAGEKEO,2024,67.72
MANGGARAI TIMUR,2024,64.2
SABU RAIJUA,2024,59.58
MALAKA,2024,62.73
KOTA KUPANG,2024,81.08
KALIMANTAN BARAT,2024,70.13
SAMBAS,2024,69.31
BENGKAYANG,2024,70.3
LANDAK,2024,69.08
MEMPAWAH,2024,68.56
SANGGAU,2024,68.43
KETAPANG,2024,69.42
SINTANG,2024,69.42
KAPUAS HULU,2024,68.58
SEKADAU,2024,67.25
MELAWI,2024,68.66
KAYONG UTARA,2024,65.74
KUBU RAYA,2024,70.25
KOTA PONTIANAK,2024,81.57
KOTA SINGKAWANG,2024,73.87
KALIMANTAN TENGAH,2024,72.73
KOTAWARINGIN BARAT,2024,74.44
KOTAWARINGIN TIMUR,2024,72.66
KAPUAS,2024,71.32
BARITO SELATAN,2024,72.36
BARITO UTARA,2024,72.31
SUKAMARA,2024,69.85
LAMANDAU,2024,72.25
SERUYAN,2024,69.05
KATINGAN,2024,70.7
PULANG PISAU,2024,70.27
GUNUNG MAS,2024,72.73
BARITO TIMUR,2024,73.26
MURUNG RAYA,2024,70.03
KOTA PALANGKA RAYA,2024,82.2
KALIMANTAN SELATAN,2024,73.03
TANAH LAUT,2024,71.43
KOTABARU,2024,70.61
BANJAR,2024,71.87
BARITO KUALA,2024,68.84
TAPIN,2024,72.51
HULU SUNGAI SELATAN,2024,71.21
HULU SUNGAI TENGAH,2024,70.69
HULU SUNGAI UTARA,2024,68.28
TABALONG,2024,74.41
TANAH BUMBU,2024,72.95
BALANGAN,2024,71.34
KOTA BANJARMASIN,2024,79.05
KOTA BANJAR BARU,2024,80.51
KALIMANTAN TIMUR,2024,78.83
PASER,2024,74.7
KUTAI BARAT,2024,74.5
KUTAI KARTANEGARA,2024,75.91
KUTAI TIMUR,2024,75.53
BERAU,2024,76.66
PENAJAM PASER UTARA,2024,73.9
MAHAKAM ULU,2024,70.35
KOTA BALIKPAPAN,2024,82.24
KOTA SAMARINDA,2024,82.81
KOTA BONTANG,2024,82.42
KALIMANTAN UTARA,2024,73.02
MALINAU,2024,73.9
BULUNGAN,2024,73.34
TANA TIDUNG,2024,70.08
NUNUKAN,2024,68.52
KOTA TARAKAN,2024,77.96
SULAWESI UTARA,2024,75.03
BOLAANG MONGONDOW,2024,70.29
MINAHASA,2024,77.74
KEPULAUAN SANGIHE,2024,72.71
KEPULAUAN TALAUD,2024,71.77
MINAHASA SELATAN,2024,74.17
MINAHASA UTARA,2024,75.89
BOLAANG MONGONDOW UTARA,2024,69.32
SIAU TAGULANDANG BIARO,2024,70.31
MINAHASA TENGGARA,2024,72.66
BOLAANG MONGONDOW SELATAN,2024,67.14
BOLAANG MONGONDOW TIMUR,2024,68.53
KOTA MANADO,2024,80.63
KOTA BITUNG,2024,75.71
KOTA TOMOHON,2024,78.89
KOTA KOTAMOBAGU,2024,75.27
SULAWESI TENGAH,2024,71.56
BANGGAI KEPULAUAN,2024,67.43
BANGGAI,2024,72.32
MOROWALI,2024,73.54
POSO,2024,72.87
DONGGALA,2024,67.45
TOLI-TOLI,2024,68.37
BUOL,2024,70.28
PARIGI MOUTONG,2024,67.49
TOJO UNA-UNA,2024,66.97
SIGI,2024,70.51
BANGGAI LAUT,2024,67.43
MOROWALI UTARA,2024,70.58
KOTA PALU,2024,82.88
SULAWESI SELATAN,2024,74.05
KEPULAUAN SELAYAR,2024,70.03
BULUKUMBA,2024,71.97
BANTAENG,2024,71.48
JENEPONTO,2024,66.38
TAKALAR,2024,69.47
GOWA,2024,72.26
SINJAI,2024,69.52
MAROS,2024,72.11
PANGKAJENE DAN KEPULAUAN,2024,71.22
BARRU,2024,73.06
BONE,2024,68.36
SOPPENG,2024,71.39
WAJO,2024,71.52
SIDENRENG RAPPANG,2024,73.21
PINRANG,2024,73.55
ENREKANG,2024,74.61
LUWU,2024,72.79
TANA TORAJA,2024,71.67
LUWU UTARA,2024,72.07
LUWU TIMUR,2024,74.95
TORAJA UTARA,2024,71.85
KOTA MAKASAR,2024,83.9
KOTA PAREPARE,2024,79.64
KOTA PALOPO,2024,79.94
SULAWESI TENGGARA,2024,73.48
BUTON,2024,68.88
MUNA,2024,71.05
KONAWE,2024,73.39
KOLAKA,2024,75.18
KONAWE SELATAN,2024,71.19
BOMBANA,2024,68.15
WAKATOBI,2024,72.02
KOLAKA UTARA,2024,71.7
BUTON UTARA,2024,70.6
KONAWE UTARA,2024,72.32
KOLAKA TIMUR,2024,70.27
KONAWE KEPULAUAN,2024,67.99
MUNA BARAT,2024,68.06
BUTON TENGAH,2024,66.47
BUTON SELATAN,2024,67
KOTA KENDARI,2024,85.33
KOTA BAUBAU,2024,78.13
GORONTALO,2024,71.23
BOALEMO,2024,68.74
GORONTALO,2024,69.66
POHUWATO,2024,68.02
BONE BOLANGO,2024,72.38
GORONTALO UTARA,2024,67.46
KOTA GORONTALO,2024,79.18
SULAWESI BARAT,2024,68.2
MAJENE,2024,69.42
POLEWALI MANDAR,2024,66.22
MAMASA,2024,68.37
MAMUJU,2024,70.4
MAMUJU UTARA / PASANGKAYU,2024,69.73
MAMUJU TENGAH,2024,68.36
MALUKU,2024,71.57
MALUKU TENGGARA BARAT / KEPULAUAN TANIMBAR,2024,64.83
MALUKU TENGGARA,2024,68.24
MALUKU TENGAH,2024,73.21
BURU,2024,71.01
KEPULAUAN ARU,2024,65.83
SERAM BAGIAN BARAT,2024,68.39
SERAM BAGIAN TIMUR,2024,66.24
MALUKU BARAT DAYA,2024,64.86
BURU SELATAN,2024,67.09
KOTA AMBON,2024,82.56
KOTA TUAL,2024,70.21
MALUKU UTARA,2024,71.03
HALMAHERA BARAT,2024,67.53
HALMAHERA TENGAH,2024,68.45
KEPULAUAN SULA,2024,65.99
HALMAHERA SELATAN,2024,66.66
HALMAHERA UTARA,2024,69.78
HALMAHERA TIMUR,2024,69.58
PULAU MOROTAI,2024,65.68
PULAU TALIABU,2024,62.9
KOTA TERNATE,2024,82.12
KOTA TIDORE KEPULAUAN,2024,72.91
PAPUA BARAT,2024,67.02
FAKFAK,2024,70.39
KAIMANA,2024,67.6
TELUK WONDAMA,2024,62.36
TELUK BINTUNI,2024,66.75
MANOKWARI,2024,73.83
SORONG SELATAN,2024,-
SORONG SELATAN,2024,-
SORONG,2024,-
SORONG,2024,-
RAJA AMPAT,2024,-
RAJA AMPAT,2024,-
TAMBRAUW,2024,-
TAMBRAUW,2024,-
MAYBRAT,2024,-
MAYBRAT,2024,-
MANOKWARI SELATAN,2024,62.45
PEGUNUNGAN ARFAK,2024,58.73
KOTA SORONG,2024,-
KOTA SORONG,2024,-
PAPUA BARAT DAYA,2024,68.63
RAJA AMPAT,2024,65.86
RAJA AMPAT,2024,65.86
SORONG,2024,68.29
SORONG,2024,68.29
SORONG SELATAN,2024,64.5
SORONG SELATAN,2024,64.5
MAYBRAT,2024,61.83
MAYBRAT,2024,61.83
TAMBRAUW,2024,56.32
TAMBRAUW,2024,56.32
KOTA SORONG,2024,79.93
KOTA SORONG,2024,79.93
PAPUA,2024,73
MERAUKE,2024,-
MERAUKE,2024,-
JAYAWIJAYA,2024,-
JAYAWIJAYA,2024,-
JAYAPURA,2024,74.11
NABIRE,2024,-
NABIRE,2024,-
KEPULAUAN YAPEN,2024,69.65
BIAK NUMFOR,2024,73.98
PANIAI,2024,-
PANIAI,2024,-
PUNCAK JAYA,2024,-
PUNCAK JAYA,2024,-
MIMIKA,2024,-
MIMIKA,2024,-
BOVEN DIGOEL,2024,-
BOVEN DIGOEL,2024,-
MAPPI,2024,-
MAPPI,2024,-
ASMAT,2024,-
ASMAT,2024,-
YAHUKIMO,2024,-
YAHUKIMO,2024,-
PEGUNUNGAN BINTANG,2024,-
PEGUNUNGAN BINTANG,2024,-
TOLIKARA,2024,-
TOLIKARA,2024,-
SARMI,2024,66.72
KEEROM,2024,68.68
WAROPEN,2024,66.92
SUPIORI,2024,65.15
MAMBERAMO RAYA,2024,55
NDUGA,2024,-
NDUGA,2024,-
LANNY JAYA,2024,-
LANNY JAYA,2024,-
MAMBERAMO TENGAH,2024,-
MAMBERAMO TENGAH,2024,-
YALIMO,2024,-
YALIMO,2024,-
PUNCAK,2024,-
PUNCAK,2024,-
DOGIYAI,2024,-
DOGIYAI,2024,-
INTAN JAYA,2024,-
INTAN JAYA,2024,-
DEIYAI,2024,-
DEIYAI,2024,-
KOTA JAYAPURA,2024,81.67
PAPUA SELATAN,2024,67.9
MERAUKE,2024,72.73
MERAUKE,2024,72.73
BOVEN DIGOEL,2024,64.26
BOVEN DIGOEL,2024,64.26
MAPPI,2024,61.51
MAPPI,2024,61.51
ASMAT,2024,53.92
ASMAT,2024,53.92
PAPUA TENGAH,2024,59.75
MIMIKA,2024,76.85
MIMIKA,2024,76.85
DOGIYAI,2024,57.68
DOGIYAI,2024,57.68
DEIYAI,2024,52.07
DEIYAI,2024,52.07
NABIRE,2024,71.77
NABIRE,2024,71.77
PANIAI,2024,58.69
PANIAI,2024,58.69
INTAN JAYA,2024,50.71
INTAN JAYA,2024,50.71
PUNCAK,2024,45.6
PUNCAK,2024,45.6
PUNCAK JAYA,2024,51.78
PUNCAK JAYA,2024,51.78
PAPUA PEGUNUNGAN,2024,53.42
NDUGA,2024,36.3
NDUGA,2024,36.3
JAYAWIJAYA,2024,61.03
JAYAWIJAYA,2024,61.03
LANNY JAYA,2024,51.59
LANNY JAYA,2024,51.59
TOLIKARA,2024,52.05
TOLIKARA,2024,52.05
MAMBERAMO TENGAH,2024,50.72
MAMBERAMO TENGAH,2024,50.72
YALIMO,2024,51.85
YALIMO,2024,51.85
YAHUKIMO,2024,51.98
YAHUKIMO,2024,51.98
PEGUNUNGAN BINTANG,2024,49.36
PEGUNUNGAN BINTANG,2024,49.36
INDONESIA,2024,74.2
ACEH,2019,71.9
SIMEULUE,2019,65.7
ACEH SINGKIL,2019,68.91
ACEH SELATAN,2019,66.9
ACEH TENGGARA,2019,69.36
ACEH TIMUR,2019,67.39
ACEH TENGAH,2019,73.14
ACEH BARAT,2019,71.22
ACEH BESAR,2019,73.55
PIDIE,2019,70.41
BIREUEN,2019,72.27
ACEH UTARA,2019,69.22
ACEH BARAT DAYA,2019,66.56
GAYO LUES,2019,66.87
ACEH TAMIANG,2019,69.23
NAGAN RAYA,2019,69.11
ACEH JAYA,2019,69.74
BENER MERIAH,2019,72.97
PIDIE JAYA,2019,72.87
KOTA BANDA ACEH,2019,85.07
KOTA SABANG,2019,75.77
KOTA LANGSA,2019,77.16
KOTA LHOKSEUMAWE,2019,77.3
KOTA SUBULUSSALAM,2019,64.46
SUMATERA UTARA,2019,71.74
NIAS,2019,61.65
MANDAILING NATAL,2019,66.52
TAPANULI SELATAN,2019,69.75
TAPANULI TENGAH,2019,68.86
TAPANULI UTARA,2019,73.33
TOBA SAMOSIR / TOBA,2019,74.92
LABUHAN BATU,2019,71.94
ASAHAN,2019,69.92
SIMALUNGUN,2019,72.98
DAIRI,2019,71.42
KARO,2019,74.25
DELI SERDANG,2019,75.43
LANGKAT,2019,70.76
NIAS SELATAN,2019,61.59
HUMBANG HASUNDUTAN,2019,68.83
PAKPAK BHARAT,2019,67.47
SAMOSIR,2019,70.55
SERDANG BEDAGAI,2019,70.21
BATU BARA,2019,68.35
PADANG LAWAS UTARA,2019,69.29
PADANG LAWAS,2019,68.16
LABUHAN BATU SELATAN,2019,71.39
LABUHAN BATU UTARA,2019,71.43
NIAS UTARA,2019,61.98
NIAS BARAT,2019,61.14
KOTA SIBOLGA,2019,73.41
KOTA TANJUNG BALAI,2019,68.51
KOTA PEMATANG SIANTAR,2019,78.57
KOTA TEBING TINGGI,2019,75.08
KOTA MEDAN,2019,80.97
KOTA BINJAI,2019,75.89
KOTA PADANGSIDIMPUAN,2019,75.06
KOTA GUNUNGSITOLI,2019,69.3
SUMATERA BARAT,2019,72.39
KEPULAUAN MENTAWAI,2019,61.26
PESISIR SELATAN,2019,70.08
SOLOK,2019,69.08
SIJUNJUNG,2019,67.66
TANAH DATAR,2019,72.14
PADANG PARIAMAN,2019,70.59
AGAM,2019,72.37
LIMA PULUH KOTA,2019,69.67
PASAMAN,2019,66.46
SOLOK SELATAN,2019,68.94
DHARMASRAYA,2019,71.52
PASAMAN BARAT,2019,68.21
KOTA PADANG,2019,82.68
KOTA SOLOK,2019,78.38
KOTA SAWAH LUNTO,2019,72.39
KOTA PADANG PANJANG,2019,78
KOTA BUKITTINGGI,2019,80.71
KOTA PAYAKUMBUH,2019,78.95
KOTA PARIAMAN,2019,76.7
RIAU,2019,73
KUANTAN SINGINGI,2019,70.78
INDRAGIRI HULU,2019,70.05
INDRAGIRI HILIR,2019,66.84
PELALAWAN,2019,71.85
SIAK,2019,74.07
KAMPAR,2019,73.15
ROKAN HULU,2019,69.93
BENGKALIS,2019,73.44
ROKAN HILIR,2019,69.4
KEPULAUAN MERANTI,2019,65.93
KOTA PEKANBARU,2019,81.35
KOTA DUMAI,2019,74.64
JAMBI,2019,71.26
KERINCI,2019,70.95
MERANGIN,2019,69.07
SAROLANGUN,2019,69.72
BATANG HARI,2019,69.67
MUARO JAMBI,2019,69.01
TANJUNG JABUNG TIMUR,2019,63.92
TANJUNG JABUNG BARAT,2019,67.54
TEBO,2019,69.02
BUNGO,2019,69.86
KOTA JAMBI,2019,78.26
KOTA SUNGAI PENUH,2019,75.36
SUMATERA SELATAN,2019,70.02
OGAN KOMERING ULU,2019,69.45
OGAN KOMERING ILIR,2019,66.96
MUARA ENIM,2019,68.88
LAHAT,2019,67.62
MUSI RAWAS,2019,66.92
MUSI BANYUASIN,2019,67.83
BANYU ASIN,2019,66.9
OGAN KOMERING ULU SELATAN,2019,65.43
OGAN KOMERING ULU TIMUR,2019,69.34
OGAN ILIR,2019,67.22
EMPAT LAWANG,2019,65.1
PENUKAL ABAB LEMATANG ILIR,2019,64.33
MUSI RAWAS UTARA,2019,64.32
KOTA PALEMBANG,2019,78.44
KOTA PRABUMULIH,2019,74.4
KOTA PAGAR ALAM,2019,68.44
KOTA LUBUKLINGGAU,2019,74.81
BENGKULU,2019,71.21
BENGKULU SELATAN,2019,70.27
REJANG LEBONG,2019,70.1
BENGKULU UTARA,2019,68.8
KAUR,2019,66.78
SELUMA,2019,66.69
MUKOMUKO,2019,68.12
LEBONG,2019,66.84
KEPAHIANG,2019,67.67
BENGKULU TENGAH,2019,67.3
KOTA BENGKULU,2019,80.35
LAMPUNG,2019,69.57
LAMPUNG BARAT,2019,67.5
TANGGAMUS,2019,66.37
LAMPUNG SELATAN,2019,68.22
LAMPUNG TIMUR,2019,69.34
LAMPUNG TENGAH,2019,70.04
LAMPUNG UTARA,2019,67.63
WAY KANAN,2019,67.19
TULANGBAWANG,2019,68.23
PESAWARAN,2019,65.75
PRINGSEWU,2019,69.97
MESUJI,2019,63.52
TULANG BAWANG BARAT,2019,65.93
PESISIR BARAT,2019,63.79
KOTA BANDAR LAMPUNG,2019,77.33
KOTA METRO,2019,76.77
KEP. BANGKA BELITUNG,2019,71.3
BANGKA,2019,72.39
BELITUNG,2019,72.46
BANGKA BARAT,2019,69.05
BANGKA TENGAH,2019,70.33
BANGKA SELATAN,2019,66.54
BELITUNG TIMUR,2019,70.84
KOTA PANGKAL PINANG,2019,77.97
KEPULAUAN RIAU,2019,75.48
KARIMUN,2019,71.1
BINTAN,2019,73.98
NATUNA,2019,72.63
LINGGA,2019,64.98
KEPULAUAN ANAMBAS,2019,68.48
KOTA BATAM,2019,81.09
KOTA TANJUNG PINANG,2019,78.73
DKI JAKARTA,2019,80.76
KEPULAUAN SERIBU,2019,71.4
KOTA JAKARTA SELATAN,2019,84.75
KOTA JAKARTA TIMUR,2019,82.69
KOTA JAKARTA PUSAT,2019,81.24
KOTA JAKARTA BARAT,2019,81.21
KOTA JAKARTA UTARA,2019,80.17
JAWA BARAT,2019,72.03
BOGOR,2019,70.65
SUKABUMI,2019,66.87
CIANJUR,2019,65.38
BANDUNG,2019,72.41
GARUT,2019,66.22
TASIKMALAYA,2019,65.64
CIAMIS,2019,70.39
KUNINGAN,2019,69.12
CIREBON,2019,68.69
MAJALENGKA,2019,67.52
SUMEDANG,2019,71.46
INDRAMAYU,2019,66.97
SUBANG,2019,68.69
PURWAKARTA,2019,70.67
KARAWANG,2019,70.86
BEKASI,2019,73.99
BANDUNG BARAT,2019,68.27
PANGANDARAN,2019,68.21
KOTA BOGOR,2019,76.23
KOTA SUKABUMI,2019,74.31
KOTA BANDUNG,2019,81.62
KOTA CIREBON,2019,74.92
KOTA BEKASI,2019,81.59
KOTA DEPOK,2019,80.82
KOTA CIMAHI,2019,78.11
KOTA TASIKMALAYA,2019,72.84
KOTA BANJAR,2019,71.75
JAWA TENGAH,2019,71.73
CILACAP,2019,69.98
BANYUMAS,2019,71.96
PURBALINGGA,2019,68.99
BANJARNEGARA,2019,67.34
KEBUMEN,2019,69.6
PURWOREJO,2019,72.5
WONOSOBO,2019,68.27
MAGELANG,2019,69.87
BOYOLALI,2019,73.8
KLATEN,2019,75.29
SUKOHARJO,2019,76.84
WONOGIRI,2019,69.98
KARANGANYAR,2019,75.89
SRAGEN,2019,73.43
GROBOGAN,2019,69.86
BLORA,2019,68.65
REMBANG,2019,70.15
PATI,2019,71.35
KUDUS,2019,74.94
JEPARA,2019,71.88
DEMAK,2019,71.87
SEMARANG,2019,74.14
TEMANGGUNG,2019,69.56
KENDAL,2019,71.97
BATANG,2019,68.42
PEKALONGAN,2019,69.71
PEMALANG,2019,66.32
TEGAL,2019,68.24
BREBES,2019,66.12
KOTA MAGELANG,2019,78.8
KOTA SURAKARTA,2019,81.86
KOTA SALATIGA,2019,83.12
KOTA SEMARANG,2019,83.19
KOTA PEKALONGAN,2019,74.77
KOTA TEGAL,2019,74.93
D I YOGYAKARTA,2019,79.99
KULON PROGO,2019,74.44
BANTUL,2019,80.01
GUNUNG KIDUL,2019,69.96
SLEMAN,2019,83.85
KOTA YOGYAKARTA,2019,86.65
JAWA TIMUR,2019,71.5
PACITAN,2019,68.16
PONOROGO,2019,70.56
TRENGGALEK,2019,69.46
TULUNGAGUNG,2019,72.62
BLITAR,2019,70.57
KEDIRI,2019,71.85
MALANG,2019,70.35
LUMAJANG,2019,65.33
JEMBER,2019,66.69
BANYUWANGI,2019,70.6
BONDOWOSO,2019,66.09
SITUBONDO,2019,67.09
PROBOLINGGO,2019,65.6
PASURUAN,2019,68.29
SIDOARJO,2019,80.05
MOJOKERTO,2019,73.53
JOMBANG,2019,72.85
NGANJUK,2019,71.71
MADIUN,2019,71.69
MAGETAN,2019,73.49
NGAWI,2019,70.41
BOJONEGORO,2019,68.75
TUBAN,2019,68.37
LAMONGAN,2019,72.57
GRESIK,2019,76.1
BANGKALAN,2019,63.79
SAMPANG,2019,61.94
PAMEKASAN,2019,65.94
SUMENEP,2019,66.22
KOTA KEDIRI,2019,78.08
KOTA BLITAR,2019,78.56
KOTA MALANG,2019,81.32
KOTA PROBOLINGGO,2019,73.27
KOTA PASURUAN,2019,75.25
KOTA MOJOKERTO,2019,77.96
KOTA MADIUN,2019,80.88
KOTA SURABAYA,2019,82.22
KOTA BATU,2019,75.88
BANTEN,2019,72.44
PANDEGLANG,2019,64.91
LEBAK,2019,63.88
TANGERANG,2019,71.93
SERANG,2019,66.38
KOTA TANGERANG,2019,78.43
KOTA CILEGON,2019,73.01
KOTA SERANG,2019,72.1
KOTA TANGERANG SELATAN,2019,81.48
BALI,2019,75.38
JEMBRANA,2019,72.35
TABANAN,2019,76.16
BADUNG,2019,81.59
GIANYAR,2019,77.14
KLUNGKUNG,2019,71.71
BANGLI,2019,69.35
KARANGASEM,2019,67.34
BULELENG,2019,72.3
KOTA DENPASAR,2019,83.68
NUSA TENGGARA BARAT,2019,68.14
LOMBOK BARAT,2019,68.03
LOMBOK TENGAH,2019,66.36
LOMBOK TIMUR,2019,66.23
SUMBAWA,2019,67.6
DOMPU,2019,67.83
BIMA,2019,66.37
SUMBAWA BARAT,2019,71.52
LOMBOK UTARA,2019,64.49
KOTA MATARAM,2019,79.1
KOTA BIMA,2019,75.8
NUSA TENGGARA TIMUR,2019,65.23
SUMBA BARAT,2019,63.56
SUMBA TIMUR,2019,65.34
KUPANG,2019,64.43
TIMOR TENGAH SELATAN,2019,62.23
TIMOR TENGAH UTARA,2019,63.34
BELU,2019,62.54
ALOR,2019,61.03
LEMBATA,2019,64.91
FLORES TIMUR,2019,64.34
SIKKA,2019,64.75
ENDE,2019,67.2
NGADA,2019,67.76
MANGGARAI,2019,64.15
ROTE NDAO,2019,62.22
MANGGARAI BARAT,2019,63.5
SUMBA TENGAH,2019,61.01
SUMBA BARAT DAYA,2019,62.6
NAGEKEO,2019,65.88
MANGGARAI TIMUR,2019,60.47
SABU RAIJUA,2019,56.66
MALAKA,2019,60.34
KOTA KUPANG,2019,79.55
KALIMANTAN BARAT,2019,67.65
SAMBAS,2019,67.02
BENGKAYANG,2019,67.57
LANDAK,2019,65.96
MEMPAWAH,2019,65.5
SANGGAU,2019,65.67
KETAPANG,2019,67.16
SINTANG,2019,66.7
KAPUAS HULU,2019,65.65
SEKADAU,2019,64.34
MELAWI,2019,65.54
KAYONG UTARA,2019,62.66
KUBU RAYA,2019,67.76
KOTA PONTIANAK,2019,79.35
KOTA SINGKAWANG,2019,71.72
KALIMANTAN TENGAH,2019,70.91
KOTAWARINGIN BARAT,2019,72.85
KOTAWARINGIN TIMUR,2019,71.16
KAPUAS,2019,69.38
BARITO SELATAN,2019,70.1
BARITO UTARA,2019,70.52
SUKAMARA,2019,67.95
LAMANDAU,2019,70.51
SERUYAN,2019,67.57
KATINGAN,2019,68.55
PULANG PISAU,2019,68.34
GUNUNG MAS,2019,70.65
BARITO TIMUR,2019,71.34
MURUNG RAYA,2019,67.89
KOTA PALANGKA RAYA,2019,80.77
KALIMANTAN SELATAN,2019,70.72
TANAH LAUT,2019,69.04
KOTABARU,2019,68.95
BANJAR,2019,68.94
BARITO KUALA,2019,66.24
TAPIN,2019,70.13
